team,group,elo,effective_rating,current_group_points,current_group_goal_difference,expected_group_points,expected_group_goal_difference,expected_group_goals_for,expected_group_goals_against,prob_finish_1st,prob_finish_2nd,prob_finish_3rd,prob_finish_4th,prob_top2,prob_advance_as_third,prob_round_of_32,prob_round_of_16,prob_quarter_final,prob_semi_final,prob_final,prob_champion,prob_exit_group,prob_exit_round_of_32,prob_exit_round_of_16,prob_exit_quarter_final,prob_exit_semi_final,prob_runner_up,prob_win_given_round_of_32,prob_win_given_quarter_final,champion_ci_low,champion_ci_high,path_difficulty_index,most_likely_round_of_32_opponents,most_likely_round_of_16_opponents,strongest_factors_helping,biggest_weaknesses_or_risks
Japan,F,1925.0,1966.0,4,4,6.0691,5.05588,7.93204,2.87616,0.2836,0.55158,0.16482,0.0,0.83518,0.16482,1.0,0.4987,0.29448,0.13484,0.05604,0.02294,0.0,0.5013000000000001,0.20421999999999996,0.15964000000000003,0.07879999999999998,0.033100000000000004,0.02294,0.07790002716653083,0.02166390365237567,0.024289397663577624,1969.0,Brazil 40.0%; Morocco 37.5%; France 11.4%,Norway 10.6%; Ivory Coast 6.8%; Switzerland 6.2%,strong Elo baseline; positive recent form; banked group-stage points,player/tactical inputs not populated
Norway,I,1929.0,1936.7,3,3,5.52884,2.6445,6.50138,3.85688,0.24894,0.54538,0.20308,0.0026,0.7943199999999999,0.19672,0.99104,0.65684,0.31658,0.14034,0.0563,0.02002,0.008959999999999968,0.33420000000000005,0.34026,0.17623999999999998,0.08403999999999999,0.03628000000000001,0.020201000968679366,0.06323835997220292,0.018828613494299103,0.02128513648606241,1924.8,Ivory Coast 47.2%; Sweden 18.1%; England 5.4%,Brazil 14.4%; Germany 12.2%; Japan 10.6%,strong Elo baseline; healthy current goal difference,player/tactical inputs not populated
United States,D,1820.0,1866.7,6,5,7.485,5.17186,7.38598,2.21412,0.99094,0.00906,0.0,0.0,1.0,0.0,1.0,0.77214,0.42228,0.12332,0.04378,0.01248,0.0,0.22785999999999995,0.34986000000000006,0.29896,0.07954,0.0313,0.01248,0.029553850525717535,0.011543684871265721,0.013491223646643031,1843.4,Bosnia and Herzegovina 52.9%; Qatar 21.7%; Senegal 5.6%,Belgium 19.4%; Egypt 9.7%; Iran 9.4%,host-region advantage; banked group-stage points; healthy current goal difference,defensive concession rate; player/tactical inputs not populated
Austria,J,1857.0,1894.3,3,2,5.33892,1.2744,5.38458,4.11018,0.14678,0.63826,0.2087,0.00626,0.7850400000000001,0.18754,0.97258,0.38222,0.20138,0.0943,0.03616,0.01162,0.02742,0.59036,0.18084,0.10708000000000001,0.05814,0.02454,0.011947603281992228,0.0577018571854206,0.010717438615917374,0.01259760204287873,1955.7,Spain 56.5%; Cape Verde 10.5%; Uruguay 7.5%,Portugal 6.2%; Croatia 5.4%; Colombia 5.3%,strong Elo baseline; positive recent form; healthy current goal difference,player/tactical inputs not populated
Belgium,G,1869.0,1897.7,2,0,4.33056,1.54596,3.28182,1.73586,0.39766,0.36378,0.15984,0.07872,0.76144,0.12846,0.8899,0.5353,0.23924,0.08844,0.03404,0.011,0.11009999999999998,0.3546,0.29606,0.1508,0.054400000000000004,0.02304,0.012360939431396786,0.0459789332887477,0.010122580276287258,0.011952555646869494,1925.7,Australia 22.0%; Paraguay 14.1%; Algeria 7.2%,United States 19.4%; Argentina 16.5%; Colombia 3.3%,strong Elo baseline; positive recent form,player/tactical inputs not populated
Switzerland,B,1885.0,1892.8,4,3,5.53394,3.23938,6.42998,3.1906,0.42562,0.5636,0.01078,0.0,0.98922,0.01078,1.0,0.65744,0.27926,0.09188,0.0331,0.01018,0.0,0.34256,0.37818,0.18738,0.058780000000000006,0.022919999999999996,0.01018,0.0364534842082647,0.009336981149624576,0.011098280768331742,1912.0,South Korea 43.3%; Egypt 9.5%; Iran 8.5%,Netherlands 15.1%; Colombia 14.7%; Morocco 9.3%,strong Elo baseline; banked group-stage points; healthy current goal difference,player/tactical inputs not populated
Morocco,C,1866.0,1896.5,4,1,6.43932,2.79282,4.47344,1.68062,0.3626,0.61574,0.02166,0.0,0.97834,0.02166,1.0,0.42272,0.22634,0.08232,0.03028,0.01006,0.0,0.57728,0.19637999999999997,0.14402,0.05204,0.020220000000000002,0.01006,0.04444640805867279,0.009222133328223171,0.010973147027996497,1958.1,Netherlands 53.5%; Japan 37.5%; Sweden 6.8%,Switzerland 9.3%; South Korea 7.4%; Norway 6.5%,strong Elo baseline; banked group-stage points; positive recent form,player/tactical inputs not populated
Croatia,L,1881.0,1867.1,0,-2,4.22678,0.3224,6.04152,5.71912,0.02298,0.66904,0.19976,0.10822,0.69202,0.14608,0.8381,0.36794,0.1152,0.05346,0.01844,0.00518,0.16190000000000004,0.47015999999999997,0.25273999999999996,0.061739999999999996,0.035019999999999996,0.013260000000000001,0.006180646700871018,0.04496527777777778,0.00458766367758881,0.005848366501340482,1965.6,Portugal 34.5%; Colombia 27.4%; DR Congo 14.0%,Spain 20.2%; Austria 5.4%; Argentina 2.3%,strong Elo baseline,defensive concession rate; limited group-stage margin; negative current goal difference
Canada,B,1777.0,1835.5,4,6,5.20898,5.76062,8.1906,2.42998,0.57438,0.42486,0.00076,0.0,0.99924,0.00076,1.0,0.59316,0.21388,0.06028,0.01904,0.0051,0.0,0.40684,0.37928000000000006,0.1536,0.04124,0.013940000000000001,0.0051,0.023845146811296056,0.00451251307111457,0.0057635293999902925,1897.9,South Korea 32.7%; Egypt 13.0%; Iran 11.5%,Colombia 17.8%; Netherlands 10.4%; Portugal 8.0%,host-region advantage; banked group-stage points; healthy current goal difference,player/tactical inputs not populated
Senegal,I,1839.0,1834.5,0,-2,3.16316,-1.34506,4.06336,5.40842,0.01174,0.20352,0.62738,0.15736,0.21526,0.4569,0.67216,0.30212,0.12822,0.0372,0.01146,0.00294,0.32784,0.37004,0.1739,0.09102,0.02574,0.00852,0.004373958581290169,0.0229293401965372,0.0025020958728082096,0.003454278487036975,1928.5,Ivory Coast 17.5%; England 12.9%; Colombia 7.8%,Brazil 4.7%; United States 4.0%; Japan 3.6%,viable qualification route,limited group-stage margin; negative current goal difference; player/tactical inputs not populated
Paraguay,D,1816.0,1826.8,3,-2,4.4208,-1.9269,3.33124,5.25814,0.00172,0.38558,0.49676,0.11594,0.3873,0.41406,0.80136,0.34084,0.08592,0.03466,0.0107,0.00282,0.19864000000000004,0.46052,0.25492,0.05125999999999999,0.023960000000000002,0.00788,0.0035190176699610664,0.03282122905027933,0.002391830011518748,0.0033245627865897878,1964.2,Germany 36.8%; Belgium 14.1%; Iran 10.4%,Argentina 16.7%; France 7.1%; Austria 2.4%,positive recent form,negative current goal difference; player/tactical inputs not populated
Uruguay,H,1851.0,1840.2,2,0,2.56078,-1.38652,3.78174,5.16826,0.10128,0.06758,0.70942,0.12172,0.16886,0.19622,0.36508,0.15228,0.0706,0.02398,0.00748,0.00196,0.6349199999999999,0.21280000000000002,0.08168,0.046619999999999995,0.0165,0.00552,0.0053686863153281465,0.027762039660056657,0.0016087139716964539,0.002387810967299433,1931.9,Austria 7.5%; Argentina 7.2%; Mexico 6.2%,United States 4.8%; England 2.2%; Portugal 1.6%,strong Elo baseline,weak recent form; player/tactical inputs not populated
Australia,D,1799.0,1806.2,3,0,4.3203,-0.0731,3.25814,3.33124,0.00734,0.60536,0.32474,0.06256,0.6127,0.28716,0.89986,0.40576,0.09082,0.0324,0.0092,0.00188,0.10014,0.4941,0.31494,0.05842,0.0232,0.00732,0.002089213877714311,0.020700286280554942,0.00153665884671251,0.0022998783844589447,1946.7,Germany 25.2%; Belgium 22.0%; Iran 16.2%,Argentina 25.0%; France 4.4%; Austria 3.6%,viable qualification route,player/tactical inputs not populated
Ecuador,E,1864.0,1869.7,1,-1,2.00474,-1.55334,1.0573,2.61064,0.0,0.05038,0.7797,0.16992,0.05038,0.21912,0.2695,0.11894,0.0539,0.01738,0.00608,0.00176,0.7304999999999999,0.15056000000000003,0.06504,0.036520000000000004,0.0113,0.00432,0.006530612244897959,0.03265306122448979,0.0014288984263106821,0.0021676572431241245,1952.5,Mexico 7.2%; United States 3.6%; Norway 2.7%,England 2.2%; United States 1.8%; Brazil 0.8%,strong Elo baseline,limited group-stage margin; player/tactical inputs not populated
Iran,G,1766.0,1788.7,2,0,3.57708,0.294,3.44854,3.15454,0.24028,0.26896,0.37068,0.12008,0.5092399999999999,0.21316,0.7224,0.33394,0.10986,0.02804,0.00724,0.00164,0.27759999999999996,0.38846,0.22408,0.08182,0.0208,0.0056,0.002270210409745293,0.014928090296741307,0.0013215601743057632,0.002035013933392394,1909.6,Australia 16.2%; Canada 11.5%; Paraguay 10.4%,Argentina 9.6%; United States 9.4%; Colombia 4.4%,positive recent form,player/tactical inputs not populated
South Korea,A,1771.0,1771.5,3,0,5.1432,1.18324,4.01586,2.83262,0.05876,0.7681,0.151,0.02214,0.82686,0.1327,0.95956,0.39148,0.11984,0.02696,0.00682,0.00136,0.04044000000000003,0.5680799999999999,0.27164,0.09288,0.02014,0.00546,0.0014173162699570637,0.011348464619492658,0.001073025702190729,0.0017235914281219153,1912.4,Switzerland 43.3%; Canada 32.7%; Belgium 4.9%,Netherlands 12.4%; Morocco 7.4%; Japan 4.9%,viable qualification route,player/tactical inputs not populated
Algeria,J,1759.0,1784.8,0,-3,2.94634,-2.70762,2.82304,5.53066,0.00536,0.19946,0.52932,0.26586,0.20482,0.35154,0.55636,0.18546,0.07366,0.01908,0.0055,0.00114,0.44364000000000003,0.37089999999999995,0.11180000000000001,0.054580000000000004,0.01358,0.004359999999999999,0.0020490330002156877,0.015476513711648111,0.0008800793451529599,0.0014765715886424949,1942.6,Spain 17.5%; Canada 8.1%; Belgium 7.2%,United States 5.3%; Colombia 3.8%; Portugal 2.4%,positive recent form,limited group-stage margin; negative current goal difference; player/tactical inputs not populated
Scotland,C,1768.0,1773.8,3,0,3.71966,-1.05342,1.87668,2.9301,0.0393,0.13658,0.80814,0.01598,0.17588,0.69658,0.87246,0.23888,0.06618,0.0182,0.00446,0.00102,0.12754,0.63358,0.17270000000000002,0.04798,0.01374,0.0034400000000000003,0.001169108039337047,0.015412511332728921,0.0007759302995114471,0.0013407390725473593,1979.6,Mexico 51.9%; Germany 15.4%; Netherlands 10.6%,England 11.4%; France 2.8%; Norway 1.4%,viable qualification route,player/tactical inputs not populated
Ivory Coast,E,1728.0,1764.0,3,0,5.32132,1.53798,4.27942,2.74144,0.00476,0.86194,0.10526,0.02804,0.8667,0.09574,0.96244,0.28118,0.07808,0.01886,0.00398,0.00098,0.03756000000000004,0.68126,0.2031,0.059219999999999995,0.014879999999999997,0.003,0.0010182452932130835,0.012551229508196721,0.0007414161540326908,0.001295259364113899,1964.2,Norway 47.2%; France 20.7%; Senegal 17.5%,Brazil 8.8%; Japan 6.8%; Morocco 4.2%,positive recent form,player/tactical inputs not populated
Egypt,G,1711.0,1718.7,1,0,4.01642,0.4206,3.85898,3.43838,0.28498,0.2155,0.28526,0.21426,0.50048,0.24152,0.742,0.2839,0.08068,0.01614,0.00334,0.00056,0.258,0.4581,0.20321999999999998,0.06454,0.012800000000000002,0.0027800000000000004,0.0007547169811320754,0.00694100148735746,0.00038748906264430454,0.0008092509894240149,1892.0,Australia 13.2%; Canada 13.0%; Switzerland 9.5%,United States 9.7%; Argentina 6.5%; Colombia 3.7%,viable qualification route,limited group-stage margin; player/tactical inputs not populated
Turkey,D,1813.0,1824.0,0,-3,1.25388,-3.17186,1.21412,4.38598,0.0,0.0,0.1785,0.8215,0.0,0.16096,0.16096,0.04752,0.01418,0.0055,0.00152,0.00036,0.83904,0.11343999999999999,0.03334,0.00868,0.003979999999999999,0.00116,0.0022365805168986087,0.025387870239774332,0.0002277369906560485,0.00056903379185119,2000.5,Germany 14.1%; France 1.0%; Colombia 0.5%,France 2.6%; Norway 0.8%; Sweden 0.5%,positive recent form,limited group-stage margin; negative current goal difference; player/tactical inputs not populated
Sweden,F,1727.0,1725.7,3,0,3.71646,-1.05588,6.87616,7.93204,0.03198,0.1354,0.8325,0.00012,0.16738,0.76286,0.93024,0.15972,0.04446,0.01058,0.0023,0.00036,0.06976000000000004,0.77052,0.11526,0.03388,0.008280000000000001,0.0019399999999999999,0.0003869969040247678,0.008097165991902834,0.0002277369906560485,0.00056903379185119,2017.1,France 53.2%; Norway 18.1%; Brazil 8.9%,Germany 7.6%; Norway 1.3%; Paraguay 1.3%,attacking output,defensive concession rate; player/tactical inputs not populated
DR Congo,K,1674.0,1680.2,1,0,2.9285,-1.41646,3.0702,4.48666,0.05042,0.18962,0.41646,0.3435,0.24004,0.27314,0.51318,0.1316,0.02682,0.00642,0.00088,0.00014,0.48682000000000003,0.38158,0.10478,0.0204,0.005540000000000001,0.00074,0.000272808761058498,0.005219985085756897,6.781800868034618e-05,0.000288986577309703,1947.7,England 26.9%; Croatia 14.0%; Ghana 6.5%,Spain 4.9%; Mexico 2.2%; Austria 1.3%,viable qualification route,limited group-stage margin; player/tactical inputs not populated
Uzbekistan,K,1698.0,1673.2,0,-2,1.89556,-3.43556,3.05044,6.486,0.01106,0.09814,0.30982,0.58098,0.1092,0.23128,0.34048,0.0707,0.01268,0.00288,0.00048,0.00012,0.65952,0.26978,0.05802,0.0098,0.0024000000000000002,0.00036,0.00035244360902255637,0.00946372239747634,5.499744914591923e-05,0.0002618102098880219,1977.0,England 22.5%; Croatia 7.3%; Ghana 2.9%,Spain 2.5%; Mexico 1.8%; Austria 0.6%,viable qualification route,weak recent form; limited group-stage margin; negative current goal difference
Czechia,A,1696.0,1700.3,1,-1,1.6524,-2.18902,2.83144,5.02046,0.0,0.0427,0.6206,0.3367,0.0427,0.12746,0.17016,0.06302,0.02098,0.00356,0.00072,8e-05,0.82984,0.10714,0.04204000000000001,0.017419999999999998,0.0028399999999999996,0.00064,0.00047014574518100614,0.0038131553860819836,3.111036046966462e-05,0.0002057034446520603,1865.1,Belgium 4.7%; Egypt 3.9%; Iran 3.0%,United States 3.8%; Netherlands 0.5%; Bosnia and Herzegovina 0.4%,viable qualification route,limited group-stage margin; defensive concession rate; player/tactical inputs not populated
Jordan,J,1653.0,1612.9,0,-2,1.08274,-5.42164,2.51222,7.93386,0.00132,0.0169,0.25436,0.72742,0.01822,0.13374,0.15196,0.03544,0.0088,0.00092,0.0002,4e-05,0.84804,0.11652000000000001,0.026639999999999997,0.00788,0.00072,0.00016,0.00026322716504343247,0.004545454545454545,1.0969281687106633e-05,0.00014585066952240206,1892.4,Canada 2.9%; Belgium 2.8%; Switzerland 2.2%,United States 1.3%; Colombia 0.7%; Portugal 0.3%,viable qualification route,weak recent form; defensive concession rate; limited group-stage margin
Panama,L,1683.0,1673.3,0,-1,1.24668,-3.6501,1.64616,5.29626,0.00438,0.07372,0.16608,0.75582,0.07809999999999999,0.12316,0.20126,0.04322,0.00954,0.00168,0.00036,2e-05,0.79874,0.15803999999999999,0.03368,0.007859999999999999,0.00132,0.00034,9.93739441518434e-05,0.0020964360587002098,3.530409009447142e-06,0.00011329261524395344,1956.7,Colombia 10.0%; Portugal 6.9%; DR Congo 2.1%,Spain 1.4%; Canada 0.7%; Switzerland 0.6%,viable qualification route,limited group-stage margin; defensive concession rate; weak recent form
South Africa,A,1527.0,1499.3,1,-2,1.65352,-3.18324,1.83262,5.01586,0.0,0.13044,0.2284,0.64116,0.13044,0.0218,0.15224,0.02352,0.00258,0.00012,0.0,0.0,0.8477600000000001,0.12872,0.02094,0.00246,0.00012,0.0,0.0,0.0,0.0,7.682609729729246e-05,1874.7,Switzerland 7.4%; Canada 5.5%; Belgium 0.8%,Netherlands 0.8%; Morocco 0.5%; United States 0.3%,viable qualification route,low Elo baseline; weak recent form; negative current goal difference
Bosnia and Herzegovina,B,1596.0,1574.5,1,-3,2.86654,-2.26756,3.71696,5.98452,0.0,0.01148,0.76906,0.21946,0.01148,0.5343,0.54578,0.10336,0.0248,0.002,0.00016,0.0,0.45421999999999996,0.44242000000000004,0.07855999999999999,0.0228,0.00184,0.00016,0.0,0.0,0.0,7.682609729729246e-05,1868.9,United States 52.9%; South Korea 0.9%; Australia 0.4%,Belgium 2.6%; Egypt 1.2%; Iran 1.2%,viable qualification route,low Elo baseline; weak recent form; negative current goal difference
Qatar,B,1437.0,1402.7,1,-6,1.89592,-6.73244,1.98452,8.71696,0.0,6e-05,0.2194,0.78054,6e-05,0.21924,0.2193,0.01758,0.00188,0.00012,0.0,0.0,0.7807,0.20172,0.0157,0.0017599999999999998,0.00012,0.0,0.0,0.0,0.0,7.682609729729246e-05,1863.9,United States 21.7%; Australia 0.2%; Paraguay 0.0%,Belgium 0.5%; Iran 0.2%; Egypt 0.2%,viable qualification route,low Elo baseline; weak recent form; negative current goal difference
Haiti,C,1528.0,1503.7,0,-4,0.40916,-5.79282,0.68062,6.47344,0.0,0.0,0.01598,0.98402,0.0,0.0126,0.0126,0.00096,8e-05,0.0,0.0,0.0,0.9874,0.01164,0.00088,8e-05,0.0,0.0,0.0,0.0,0.0,7.682609729729246e-05,1977.5,Mexico 1.0%; Germany 0.2%; South Korea 0.0%,England 0.1%; France 0.0%; Senegal 0.0%,viable qualification route,low Elo baseline; weak recent form; negative current goal difference
Curacao,E,1453.0,1421.3,1,-6,1.50578,-7.53798,1.74144,9.27942,0.0,0.08292,0.11504,0.80204,0.08292,0.02798,0.1109,0.00762,0.00064,2e-05,0.0,0.0,0.8891,0.10328,0.00698,0.00062,2e-05,0.0,0.0,0.0,0.0,7.682609729729246e-05,1948.2,Norway 4.4%; France 2.0%; Senegal 1.8%,Brazil 0.2%; Japan 0.1%; Morocco 0.1%,viable qualification route,low Elo baseline; weak recent form; defensive concession rate
Tunisia,F,1570.0,1530.8,0,-8,0.31154,-10.13178,1.62042,11.7522,0.0,0.0,0.00012,0.99988,0.0,6e-05,6e-05,0.0,0.0,0.0,0.0,0.0,0.99994,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.682609729729246e-05,2059.9,France 0.0%; Norway 0.0%,,viable qualification route,low Elo baseline; weak recent form; negative current goal difference
New Zealand,G,1578.0,1551.7,1,0,2.40764,-2.26056,3.7257,5.98626,0.07708,0.15176,0.18422,0.58694,0.22884,0.13072,0.35956,0.07582,0.01012,0.00106,8e-05,0.0,0.64044,0.28374,0.0657,0.00906,0.00098,8e-05,0.0,0.0,0.0,7.682609729729246e-05,1874.2,Australia 9.2%; Canada 7.0%; Paraguay 5.9%,Argentina 2.5%; United States 1.6%; Colombia 1.2%,viable qualification route,low Elo baseline; weak recent form; defensive concession rate
Cape Verde,H,1625.0,1634.0,2,0,3.56766,0.27878,3.44536,3.16658,0.02754,0.59038,0.18372,0.19836,0.61792,0.08518,0.7031,0.07214,0.02024,0.00362,0.00054,0.0,0.29690000000000005,0.63096,0.051899999999999995,0.016620000000000003,0.00308,0.00054,0.0,0.0,0.0,7.682609729729246e-05,2044.9,Argentina 50.4%; Austria 10.5%; Mexico 3.2%,Australia 1.5%; United States 1.1%; Paraguay 1.0%,positive recent form,low Elo baseline; player/tactical inputs not populated
Saudi Arabia,H,1593.0,1567.9,1,-4,2.17736,-4.27878,2.16658,6.44536,0.0,0.2692,0.05088,0.67992,0.2692,0.03822,0.30742,0.02238,0.00518,0.00092,0.00012,0.0,0.69258,0.28504,0.0172,0.00426,0.0008,0.00012,0.0,0.0,0.0,7.682609729729246e-05,2059.3,Argentina 22.7%; Austria 4.0%; Mexico 1.5%,Australia 0.5%; United States 0.4%; Belgium 0.3%,viable qualification route,low Elo baseline; weak recent form; negative current goal difference
Iraq,I,1592.0,1583.0,0,-3,0.918,-6.65504,2.41294,9.06798,0.00092,0.00902,0.15072,0.83934,0.009940000000000001,0.08738,0.09732,0.01816,0.00386,0.00048,8e-05,0.0,0.90268,0.07916000000000001,0.014299999999999998,0.00338,0.0004,8e-05,0.0,0.0,0.0,7.682609729729246e-05,1917.5,England 2.7%; United States 1.3%; Colombia 1.2%,United States 0.4%; Mexico 0.2%; Brazil 0.1%,viable qualification route,low Elo baseline; limited group-stage margin; negative current goal difference
Ghana,L,1557.0,1527.5,3,1,3.72566,-3.13286,2.28974,5.4226,0.0193,0.21812,0.62758,0.135,0.23742000000000002,0.41612,0.65354,0.0745,0.00884,0.00102,0.00016,0.0,0.34646,0.57904,0.06566,0.00782,0.0008600000000000001,0.00016,0.0,0.0,0.0,7.682609729729246e-05,1954.3,Colombia 33.7%; Portugal 21.6%; DR Congo 6.5%,Spain 2.2%; Canada 1.2%; Switzerland 1.0%,viable qualification route,low Elo baseline; weak recent form; defensive concession rate
