team,group,attack_rating,clean_sheet_10,clean_sheet_20,clean_sheet_5,defense_rating,effective_rating,elo,ga_10,ga_20,ga_5,gd_10,gd_20,gd_5,gf_10,gf_20,gf_5,known_optional_features,matches_10,matches_20,matches_5,penalty_rating,ppg_10,ppg_20,ppg_5,rating_uncertainty,strong_ppg_10,strong_ppg_20,strong_ppg_5,component_elo,component_host_advantage,component_injury_suspension,component_recent_form,component_squad_tactical_country
Croatia,L,1867.55,0.0,0.0,0.0,1855.4099999999999,1867.1,1881.0,2.2,2.2,2.2,-0.8,-0.8,-0.8,1.4,1.4,1.4,0.0,5.0,5.0,5.0,1869.7839999999999,1.2,1.2,1.2,58.0,0.75,0.75,0.75,81.0,0.0,0.0,-13.9,0.0
Curacao,E,1419.6666666666665,0.3333333333333333,0.3333333333333333,0.4,1410.0433333333333,1421.3166666666666,1453.0,3,3,3.2,-1.8333333333333333,-1.8333333333333333,-1.8,1.1666666666666667,1.1666666666666667,1.4,0.0,6.0,6.0,5.0,1406.1693333333333,0.6666666666666666,0.6666666666666666,0.8,58.0,0.5,0.5,0.5,-347.0,0.0,0.0,-31.683333333333334,0.0
Czechia,A,1704.6666666666665,0.0,0.0,0.0,1694.9266666666665,1700.3166666666666,1696.0,1.5,1.5,1.4,0.3333333333333333,0.3333333333333333,0.4,1.8333333333333333,1.8333333333333333,1.8,0.0,6.0,6.0,5.0,1696.3293333333334,1.5,1.5,1.6,58.0,1,1,1,-104.0,0.0,0.0,4.316666666666668,0.0
DR Congo,K,1677.0,0.6,0.6,0.6,1687.66,1680.15,1674.0,0.6,0.6,0.6,0.4,0.4,0.4,1,1,1,0.0,5.0,5.0,5.0,1675.356,1.6,1.6,1.6,58.0,1,1,1,-126.0,0.0,0.0,6.150000000000002,0.0
Ecuador,E,1868.0,0.3333333333333333,0.3333333333333333,0.4,1874.4266666666667,1869.65,1864.0,0.6666666666666666,0.6666666666666666,0.6,0.5,0.5,0.6,1.1666666666666667,1.1666666666666667,1.2,0.0,6.0,6.0,5.0,1872.4360000000001,1.5,1.5,1.6,58.0,1,1,1,64.0,0.0,0.0,5.650000000000002,0.0
Egypt,G,1719.1333333333334,0.6,0.6,0.6,1726.1933333333334,1718.6833333333334,1711.0,0.6,0.6,0.6,0.8,0.8,0.8,1.4,1.4,1.4,0.0,5.0,5.0,5.0,1715.4306666666666,1.6,1.6,1.6,58.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,-89.0,0.0,0.0,7.683333333333335,0.0
England,L,2080.866666666667,0.4,0.4,0.4,2080.9266666666667,2076.8166666666666,2055.0,0.8,0.8,0.8,1,1,1,1.8,1.8,1.8,0.0,5.0,5.0,5.0,2087.889333333333,2,2,2,58.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,255.0,0.0,0.0,21.816666666666663,0.0
France,I,2130.8999999999996,0.0,0.0,0.0,2118.7599999999998,2121.45,2084.0,1.2,1.2,1.2,1.2,1.2,1.2,2.4,2.4,2.4,0.0,5.0,5.0,5.0,2134.308,2.4,2.4,2.4,58.0,3,3,3,284.0,0.0,0.0,37.45,0.0
Germany,E,2011.3,0.16666666666666666,0.16666666666666666,0.2,1996.7433333333333,1997.8,1954.0,1.1666666666666667,1.1666666666666667,0.8,2.3333333333333335,2.3333333333333335,2.6,3.5,3.5,3.4,0.0,6.0,6.0,5.0,2005.712,3,3,3,58.0,3,3,3,154.0,0.0,0.0,43.8,0.0
Ghana,L,1522.5,0.2,0.2,0.2,1519.16,1527.45,1557.0,2,2,2,-1.2,-1.2,-1.2,0.8,0.8,0.8,0.0,5.0,5.0,5.0,1516.548,0.8,0.8,0.8,58.0,0,0,0,-243.0,0.0,0.0,-29.549999999999997,0.0
Haiti,C,1500.5,0.16666666666666666,0.16666666666666666,0.2,1501.0933333333335,1503.65,1528.0,1.3333333333333333,1.3333333333333333,1.4,-0.3333333333333333,-0.3333333333333333,-0.2,1,1,1.2,0.0,6.0,6.0,5.0,1491.796,0.6666666666666666,0.6666666666666666,0.8,58.0,0,0,0,-272.0,0.0,0.0,-24.35,0.0
Iran,G,1796.0,0.5,0.5,0.6,1793.26,1788.65,1766.0,0.8333333333333334,0.8333333333333334,0.6,1.3333333333333333,1.3333333333333333,1.8,2.1666666666666665,2.1666666666666665,2.4,0.0,6.0,6.0,5.0,1788.1960000000001,1.8333333333333333,1.8333333333333333,2.2,58.0,1,1,1,-34.0,0.0,0.0,22.65,0.0
Iraq,I,1579.8999999999999,0.2,0.2,0.2,1578.36,1583.05,1592.0,1.6,1.6,1.6,-0.6,-0.6,-0.6,1,1,1,0.0,5.0,5.0,5.0,1574.3719999999998,1.4,1.4,1.4,58.0,0.5,0.5,0.5,-208.0,0.0,0.0,-8.950000000000001,0.0
Ivory Coast,E,1768.0,0.6,0.6,0.6,1771.46,1763.95,1728.0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.0,5.0,5.0,5.0,1762.508,2.4,2.4,2.4,58.0,2,2,2,-72.0,0.0,0.0,35.95,0.0
Japan,F,1970.05,0.8,0.8,0.8,1976.91,1966.0,1925.0,0.4,0.4,0.4,1.4,1.4,1.4,1.8,1.8,1.8,0.0,5.0,5.0,5.0,1972.64,2.6,2.6,2.6,58.0,2,2,2,125.0,0.0,0.0,41.0,0.0
Jordan,J,1611.5500000000002,0.0,0.0,0.0,1598.96,1612.9,1653.0,2.6,2.6,2.6,-1.4,-1.4,-1.4,1.2,1.2,1.2,0.0,5.0,5.0,5.0,1605.4160000000002,0.4,0.4,0.4,58.0,0,0,0,-147.0,0.0,0.0,-40.099999999999994,0.0
Mexico,A,1976.9285714285716,0.7142857142857143,0.7142857142857143,0.8,1984.9028571428573,1973.65,1896.0,0.2857142857142857,0.2857142857142857,0.2,1.4285714285714286,1.4285714285714286,2,1.7142857142857142,1.7142857142857142,2.2,0.0,7.0,7.0,5.0,1980.596,2.4285714285714284,2.4285714285714284,3,58.0,1,1,1.0,96.0,42.0,0.0,35.65,0.0
Morocco,C,1903.642857142857,0.42857142857142855,0.42857142857142855,0.6,1902.902857142857,1896.5071428571428,1866.0,0.5714285714285714,0.5714285714285714,0.4,1.5714285714285714,1.5714285714285714,2,2.142857142857143,2.142857142857143,2.4,0.0,7.0,7.0,5.0,1900.3674285714285,2.142857142857143,2.142857142857143,2.2,58.0,1.5,1.5,1,66.0,0.0,0.0,30.50714285714286,0.0
Netherlands,F,1993.8333333333333,0.0,0.0,0.0,1985.5933333333332,1987.9833333333333,1972.0,1.1666666666666667,1.1666666666666667,1.2,0.8333333333333334,0.8333333333333334,0.8,2,2,2,0.0,6.0,6.0,5.0,1995.5026666666668,1.8333333333333333,1.8333333333333333,1.6,58.0,1.6666666666666667,1.6666666666666667,1,172.0,0.0,0.0,15.983333333333334,0.0
New Zealand,G,1550.3000000000002,0.0,0.0,0.0,1541.76,1551.65,1578.0,2,2,2,-0.8,-0.8,-0.8,1.2,1.2,1.2,0.0,5.0,5.0,5.0,1541.7160000000001,0.8,0.8,0.8,58.0,0,0,0,-222.0,0.0,0.0,-26.35,0.0
Norway,I,1940.7333333333333,0.2,0.2,0.2,1937.3933333333334,1936.6833333333334,1929.0,1,1,1,0.8,0.8,0.8,1.8,1.8,1.8,0.0,5.0,5.0,5.0,1942.1506666666667,1.6,1.6,1.6,58.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,129.0,0.0,0.0,7.683333333333335,0.0
Panama,L,1676.1666666666665,0.0,0.0,0.0,1663.4266666666665,1673.3166666666666,1683.0,2,2,2.2,-0.3333333333333333,-0.3333333333333333,-0.4,1.6666666666666667,1.6666666666666667,1.8,0.0,6.0,6.0,5.0,1668.2493333333332,1.3333333333333333,1.3333333333333333,1.4,58.0,0,0,0,-117.0,0.0,0.0,-9.683333333333334,0.0
Paraguay,D,1829.0,0.6,0.6,0.6,1828.86,1826.75,1816.0,1.2,1.2,1.2,0.4,0.4,0.4,1.6,1.6,1.6,0.0,5.0,5.0,5.0,1827.82,1.8,1.8,1.8,58.0,1,1,1,16.0,0.0,0.0,10.750000000000004,0.0
Portugal,K,1995.6000000000001,0.4,0.4,0.4,2001.0600000000002,1995.15,1967.0,0.6,0.6,0.6,0.8,0.8,0.8,1.4,1.4,1.4,0.0,5.0,5.0,5.0,2002.9560000000001,2.2,2.2,2.2,58.0,2,2,2,167.0,0.0,0.0,28.150000000000006,0.0
Qatar,B,1393.65,0.25,0.25,0.25,1394.76,1402.65,1437.0,2,2,2,-1.75,-1.75,-1.75,0.25,0.25,0.25,0.0,4.0,4.0,4.0,1386.756,0.5,0.5,0.5,58.0,1,1,1,-363.0,0.0,0.0,-34.35,0.0
Saudi Arabia,H,1563.5,0.2857142857142857,0.2857142857142857,0.4,1561.6171428571429,1567.9357142857143,1593.0,1.8571428571428572,1.8571428571428572,1.4,-1,-1,-0.4,0.8571428571428571,0.8571428571428571,1,0.0,7.0,7.0,5.0,1558.653142857143,0.7142857142857143,0.7142857142857143,1,58.0,0.5,0.5,0.5,-207.0,0.0,0.0,-25.064285714285717,0.0
Scotland,C,1775.1666666666665,0.3333333333333333,0.3333333333333333,0.4,1778.5933333333332,1773.8166666666666,1768.0,0.6666666666666666,0.6666666666666666,0.6,0.8333333333333334,0.8333333333333334,1.2,1.5,1.5,1.8,0.0,6.0,6.0,5.0,1772.7693333333332,1.5,1.5,1.8,58.0,0,0,0,-32.0,0.0,0.0,5.816666666666668,0.0
Senegal,I,1836.7,0.4,0.4,0.4,1833.16,1834.45,1839.0,1.4,1.4,1.4,0.2,0.2,0.2,1.6,1.6,1.6,0.0,5.0,5.0,5.0,1835.828,1.4,1.4,1.4,58.0,0,0,0,39.0,0.0,0.0,-4.550000000000001,0.0
South Africa,A,1493.1666666666665,0.16666666666666666,0.16666666666666666,0.2,1498.26,1499.3166666666666,1527.0,1.1666666666666667,1.1666666666666667,1.2,-0.5,-0.5,-0.6,0.6666666666666666,0.6666666666666666,0.6,0.0,6.0,6.0,5.0,1487.2893333333332,0.6666666666666666,0.6666666666666666,0.6,58.0,0,0,0,-273.0,0.0,0.0,-27.683333333333334,0.0
South Korea,A,1771.3333333333333,0.3333333333333333,0.3333333333333333,0.4,1771.76,1771.4833333333333,1771.0,1.1666666666666667,1.1666666666666667,0.6,0.16666666666666666,0.16666666666666666,1,1.3333333333333333,1.3333333333333333,1.6,0.0,6.0,6.0,5.0,1770.3426666666667,1.5,1.5,1.8,58.0,0,0,0,-29.0,0.0,0.0,0.4833333333333343,0.0
Spain,H,2160.5,0.6666666666666666,0.6666666666666666,0.6,2166.5933333333332,2156.15,2134.0,0.3333333333333333,0.3333333333333333,0.4,1.5,1.5,1.2,1.8333333333333333,1.8333333333333333,1.6,0.0,6.0,6.0,5.0,2170.396,2,2,1.8,58.0,1.0,1.0,1.0,334.0,0.0,0.0,22.150000000000002,0.0
Sweden,F,1736.0,0.0,0.0,0.0,1712.76,1725.65,1727.0,2.3333333333333335,2.3333333333333335,2.6,0.16666666666666666,0.16666666666666666,-0.2,2.5,2.5,2.4,0.0,6.0,6.0,5.0,1722.6760000000002,1.6666666666666667,1.6666666666666667,1.4,58.0,0,0,0,-73.0,0.0,0.0,-1.3499999999999988,0.0
Switzerland,B,1900.1666666666665,0.16666666666666666,0.16666666666666666,0.2,1890.26,1892.8166666666666,1885.0,1.3333333333333333,1.3333333333333333,0.8,0.8333333333333334,0.8333333333333334,1.2,2.1666666666666665,2.1666666666666665,2,0.0,6.0,6.0,5.0,1896.5293333333332,1.5,1.5,1.8,58.0,0.5,0.5,1,85.0,0.0,0.0,7.816666666666668,0.0
Tunisia,F,1521.8166666666666,0.3333333333333333,0.3333333333333333,0.2,1519.5433333333333,1530.8166666666666,1570.0,2.5,2.5,3,-2.1666666666666665,-2.1666666666666665,-2.8,0.3333333333333333,0.3333333333333333,0.2,0.0,6.0,6.0,5.0,1520.0493333333334,0.6666666666666666,0.6666666666666666,0.2,58.0,0,0,0,-230.0,0.0,0.0,-39.18333333333334,0.0
Turkey,D,1823.8333333333333,0.5,0.5,0.4,1830.0933333333332,1823.9833333333333,1813.0,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.6,1.3333333333333333,1.3333333333333333,1.4,0.0,6.0,6.0,5.0,1824.9426666666666,2,2,1.8,58.0,0,0,0,13.0,0.0,0.0,10.983333333333334,0.0
United States,D,1872.5,0.16666666666666666,0.16666666666666666,0.2,1858.0933333333335,1866.65,1820.0,2,2,1.4,0,0,0.6,2,2,2,0.0,6.0,6.0,5.0,1869.316,1.5,1.5,1.8,58.0,1.2,1.2,1.5,20.0,42.0,0.0,4.65,0.0
Uruguay,H,1837.0,0.25,0.25,0.25,1841.26,1840.15,1851.0,1,1,1,0,0,0,1,1,1,0.0,4.0,4.0,4.0,1841.756,1,1,1,58.0,1,1,1,51.0,0.0,0.0,-10.85,0.0
Uzbekistan,K,1670.1,0.2,0.2,0.2,1668.56,1673.25,1698.0,1.6,1.6,1.6,-0.6,-0.6,-0.6,1,1,1,0.0,5.0,5.0,5.0,1668.18,0.8,0.8,0.8,58.0,0,0,0,-102.0,0.0,0.0,-24.75,0.0
